10,1600,1.231331
15,1600,1.79158
20,1600,2.34097
25,1600,2.902615
30,1600,3.483079
35,1600,4.104214
40,1600,4.636862
45,1600,5.295926
50,1600,5.77314
55,1600,6.346207
60,1600,6.917101
65,1600,7.671345
70,1600,8.081623
75,1600,8.727809
80,1600,9.435335
85,1600,10.313196
90,1600,10.74764
95,1600,10.966711
100,1600,11.537934
10,1500,1.263889
15,1500,1.926962
20,1500,2.598794
25,1500,3.115602
30,1500,3.706485
35,1500,4.458785
40,1500,4.93152
45,1500,5.64629
50,1500,6.151044
55,1500,6.757645
60,1500,7.853582
65,1500,8.218389
70,1500,8.867457
75,1500,9.738765
80,1500,10.03046
85,1500,10.872
90,1500,11.272356
95,1500,11.775584
100,1500,12.515865
10,1400,1.357015
15,1400,2.089541
20,1400,2.676169
25,1400,3.563807
30,1400,4.011516
35,1400,4.673746
40,1400,5.622308
45,1400,5.951478
50,1400,7.006915
55,1400,7.520319
60,1400,7.901823
65,1400,8.674527
70,1400,9.204357
75,1400,9.850348
80,1400,10.535433
85,1400,11.781318
90,1400,12.111487
95,1400,12.618068
100,1400,13.581627
10,1300,1.4557
15,1300,2.165655
20,1300,2.860786
25,1300,3.576069
30,1300,4.535359
35,1300,5.246616
40,1300,5.890701
45,1300,6.579633
50,1300,7.1178
55,1300,8.256004
60,1300,9.166186
65,1300,9.296355
70,1300,10.029406
75,1300,10.74639
80,1300,11.868358
85,1300,12.580379
90,1300,12.987099
95,1300,13.644177
100,1300,14.462117
10,1200,1.596925
15,1200,2.339574
20,1200,3.142793
25,1200,4.067381
30,1200,4.732945
35,1200,5.423275
40,1200,6.162469
45,1200,6.929588
50,1200,7.886349
55,1200,8.600014
60,1200,9.346664
65,1200,10.329869
70,1200,10.831263
75,1200,11.510037
80,1200,12.387281
85,1200,13.081504
90,1200,13.848309
95,1200,14.724963
100,1200,15.653993
10,1100,1.792687
15,1100,2.568055
20,1100,3.382776
25,1100,4.254247
30,1100,5.098646
35,1100,6.112798
40,1100,6.851483
45,1100,7.638026
50,1100,8.456346
55,1100,9.395641
60,1100,10.07072
65,1100,11.034891
70,1100,12.356703
75,1100,12.829759
80,1100,13.524929
85,1100,14.731752
90,1100,15.375214
95,1100,16.112226
100,1100,16.937435
10,1000,1.899936
15,1000,2.800231
20,1000,3.873458
25,1000,4.650327
30,1000,5.543641
35,1000,6.896
40,1000,7.396288
45,1000,8.649399
50,1000,9.318682
55,1000,10.420042
60,1000,11.514464
65,1000,12.923266
70,1000,13.191772
75,1000,14.496643
80,1000,14.99598
85,1000,15.945121
90,1000,16.700792
95,1000,17.614996
100,1000,18.75951
10,900,2.101322
15,900,3.164054
20,900,4.15294
25,900,5.42856
30,900,6.355252
35,900,7.497291
40,900,8.275398
45,900,9.548873
50,900,10.613792
55,900,11.400658
60,900,12.744246
65,900,13.462955
70,900,14.484025
75,900,15.470053
80,900,17.254849
85,900,17.593837
90,900,18.744811
95,900,19.595295
100,900,20.869924
10,800,2.578924
15,800,3.660477
20,800,4.696222
25,800,5.819753
30,800,6.963644
35,800,8.277776
40,800,9.985715
45,800,10.645831
50,800,11.928903
55,800,13.00307
60,800,13.910248
65,800,15.591436
70,800,16.539826
75,800,17.548525
80,800,19.305798
85,800,19.787085
90,800,20.991897
95,800,23.171856
100,800,23.228422
