100,1600,0.071891
150,1600,0.149425
200,1600,0.276432
250,1600,0.564092
300,1600,0.857947
350,1600,1.462244
400,1600,1.931147
450,1600,2.877974
500,1600,3.718442
550,1600,4.9332
600,1600,6.927879
650,1600,8.850082
700,1600,11.257425
750,1600,15.317515
800,1600,18.99522
850,1600,23.837515
100,1500,0.10305
150,1500,0.155067
200,1500,0.310036
250,1500,0.548901
300,1500,0.918288
350,1500,1.561515
400,1500,2.08053
450,1500,3.017228
500,1500,3.968741
550,1500,5.245987
600,1500,7.714663
650,1500,9.485184
700,1500,12.190447
750,1500,16.123483
800,1500,20.628894
850,1500,25.812985
100,1400,0.082254
150,1400,0.16676
200,1400,0.316264
250,1400,0.585697
300,1400,0.983459
350,1400,1.629061
400,1400,2.208634
450,1400,3.074265
500,1400,4.275887
550,1400,5.567846
600,1400,7.874745
650,1400,10.097231
700,1400,12.85036
750,1400,17.436837
800,1400,21.300719
850,1400,26.894072
100,1300,0.085879
150,1300,0.182483
200,1300,0.349569
250,1300,0.60983
300,1300,1.134243
350,1300,1.78801
400,1300,2.402583
450,1300,3.413167
500,1300,4.657368
550,1300,6.099152
600,1300,8.80764
650,1300,10.880636
700,1300,14.080202
750,1300,18.675858
800,1300,22.858684
850,1300,28.691824
100,1200,0.087159
150,1200,0.188295
200,1200,0.381365
250,1200,0.717244
300,1200,1.144183
350,1200,1.950963
400,1200,2.616223
450,1200,3.739578
500,1200,5.065725
550,1200,6.534737
600,1200,9.122921
650,1200,11.737909
700,1200,15.76915
750,1200,20.255637
800,1200,24.845218
850,1200,30.780612
100,1100,0.096543
150,1100,0.214886
200,1100,0.450655
250,1100,0.735745
300,1100,1.25767
350,1100,2.14949
400,1100,2.803042
450,1100,3.97407
500,1100,5.414332
550,1100,7.152536
600,1100,10.161005
650,1100,12.931519
700,1100,16.407777
750,1100,21.949879
800,1100,26.782517
850,1100,33.471444
100,1000,0.100314
150,1000,0.268511
200,1000,0.445247
250,1000,0.790018
300,1000,1.38929
350,1000,2.36637
400,1000,3.171022
450,1000,4.533552
500,1000,5.942914
550,1000,8.211493
600,1000,11.375974
650,1000,14.360725
700,1000,18.052319
750,1000,23.979364
800,1000,29.463404
850,1000,36.698683
100,900,0.111099
150,900,0.252071
200,900,0.494431
250,900,0.847051
300,900,1.514852
350,900,2.553159
400,900,3.443982
450,900,4.949336
500,900,6.575922
550,900,8.834509
600,900,12.511557
650,900,15.744861
700,900,20.105977
750,900,26.799725
800,900,32.649003
850,900,40.522498
100,800,0.121959
150,800,0.273181
200,800,0.546308
250,800,1.030382
300,800,1.677447
350,800,2.885102
400,800,3.862918
450,800,5.68431
500,800,7.788153
550,800,9.8318
600,800,14.324287
650,800,17.850834
700,800,22.59501
750,800,29.833077
800,800,36.548913
850,800,45.318765
