Matrix_Dimension ,Matrix_Dimension_2,Matrix_Dimension_3,Frequency ,Execution_Time
550,302500,166375000,1400,5.567846
550,302500,166375000,1500,5.245987
550,302500,166375000,1600,4.9332
600,360000,216000000,250,62.714318
600,360000,216000000,300,54.50523
600,360000,216000000,350,44.500419
600,360000,216000000,400,41.174277
600,360000,216000000,450,34.910015
600,360000,216000000,500,32.755843
600,360000,216000000,550,28.800126
600,360000,216000000,600,27.506167
600,360000,216000000,800,14.324287
600,360000,216000000,900,12.511557
600,360000,216000000,1000,11.375974
600,360000,216000000,1100,10.161005
600,360000,216000000,1200,9.122921
600,360000,216000000,1300,8.80764
600,360000,216000000,1400,7.874745
600,360000,216000000,1500,7.714663
600,360000,216000000,1600,6.927879
650,422500,274625000,250,79.816823
650,422500,274625000,300,66.649515
650,422500,274625000,350,57.400832
650,422500,274625000,400,50.328319
650,422500,274625000,450,44.777863
650,422500,274625000,500,40.52305
650,422500,274625000,550,37.008064
650,422500,274625000,600,34.144803
650,422500,274625000,800,17.850834
650,422500,274625000,900,15.744861
650,422500,274625000,1000,14.360725
650,422500,274625000,1100,12.931519
650,422500,274625000,1200,11.737909
650,422500,274625000,1300,10.880636
650,422500,274625000,1400,10.097231
650,422500,274625000,1500,9.485184
650,422500,274625000,1600,8.850082
700,490000,343000000,250,100.3445
700,490000,343000000,300,83.953495
700,490000,343000000,350,72.018244
700,490000,343000000,400,64.983515
700,490000,343000000,450,56.571859
700,490000,343000000,500,51.053626
700,490000,343000000,550,46.527825
700,490000,343000000,600,42.708578
700,490000,343000000,800,22.59501
700,490000,343000000,900,20.105977
700,490000,343000000,1000,18.052319
700,490000,343000000,1100,16.407777
700,490000,343000000,1200,15.76915
700,490000,343000000,1300,14.080202
700,490000,343000000,1400,12.85036
700,490000,343000000,1500,12.190447
700,490000,343000000,1600,11.257425
750,562500,421875000,250,123.931793
750,562500,421875000,300,103.84502
750,562500,421875000,350,89.195074
750,562500,421875000,400,78.313933
750,562500,421875000,450,69.583594
750,562500,421875000,500,62.970622
750,562500,421875000,550,57.547604
750,562500,421875000,600,53.650848
750,562500,421875000,800,29.833077
750,562500,421875000,900,26.799725
750,562500,421875000,1000,23.979364
750,562500,421875000,1100,21.949879
750,562500,421875000,1200,20.255637
750,562500,421875000,1300,18.675858
750,562500,421875000,1400,17.436837
750,562500,421875000,1500,16.123483
750,562500,421875000,1600,15.317515
800,640000,512000000,250,151.764523
800,640000,512000000,300,127.19742
800,640000,512000000,350,109.121023
800,640000,512000000,400,95.951457
800,640000,512000000,450,85.558963
800,640000,512000000,500,79.727515
800,640000,512000000,550,70.671838
800,640000,512000000,600,64.892377
800,640000,512000000,800,36.548913
800,640000,512000000,900,32.649003
800,640000,512000000,1000,29.463404
800,640000,512000000,1100,26.782517
800,640000,512000000,1200,24.845218
800,640000,512000000,1300,22.858684
800,640000,512000000,1400,21.300719
800,640000,512000000,1500,20.628894
800,640000,512000000,1600,18.99522
850,722500,614125000,250,183.458745
850,722500,614125000,300,153.134812
850,722500,614125000,350,131.89047
850,722500,614125000,400,115.846278
850,722500,614125000,450,104.149402
850,722500,614125000,500,93.251134
850,722500,614125000,550,85.020662
850,722500,614125000,600,78.198658
850,722500,614125000,800,45.318765
850,722500,614125000,900,40.522498
850,722500,614125000,1000,36.698683
850,722500,614125000,1100,33.471444
850,722500,614125000,1200,30.780612
850,722500,614125000,1300,28.691824
850,722500,614125000,1400,26.894072
850,722500,614125000,1500,25.812985
850,722500,614125000,1600,23.837515
