Frequency ,Voltage,Power,Flag
250,0.9491,0.0505,0
300,0.9488,0.0581,0
350,0.9488,0.0632,0
400,0.9613,0.076,0
450,1.0112,0.0944,0
500,1.0738,0.1191,0
550,1.1362,0.1491,0
600,1.1987,0.1836,0
800,0.9175,0.4408,1
900,0.93,0.4617,1
1000,0.9548,0.5907,1
1100,0.99,0.7,1
1200,1.015,0.7923,1
1300,1.0525,0.932,1
1400,1.0878,1.0829,1
1500,1.1275,1.2652,1
1600,1.1528,1.4215,1
